inchikey,smiles,pIC50,n_records,molecule_chembl_id,mw,ic50_uM,ic50_ug_mL,cell_line
QSVOOBYQRKULJV-LWMTVGAJSA-N,COc1cc([C@@H]2c3cc4c(cc3[C@@H](N[C@@H](Cc3ccc(O)cc3)C(=O)OCCCn3cc(F)c(=O)[nH]c3=O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,4.663540266151471,1,CHEMBL508921,733.7020000000002,21.69999999999998,15.921333399999991,A549
QSXIDUKAGCAOKB-UHFFFAOYSA-N,N#Cc1cnn(C(=O)c2nn(-c3ccc(Cl)cc3)cc2O)c1N,6.698970004336019,1,CHEMBL1090208,328.71900000000005,0.20000000000000004,0.06574380000000002,A549
QSYBJSCVFZWDHU-QGMIFYJMSA-N,OC[C@H]1O[C@@H](n2cc(Cl)c3c(-c4ccsc4)ncnc32)[C@H](O)[C@@H]1O,6.42021640338319,1,CHEMBL570092,367.814,0.37999999999999995,0.13976932,A549
QSYHKMREWZFKCA-QBVOZJPGSA-N,CCC(=O)O[C@H]1C=C2c3cc4c(c(O)c3C(=O)N[C@H]2[C@H](O)[C@@H]1O)OCO4,8.0,1,CHEMBL472928,363.32200000000006,0.01,0.0036332200000000004,A549
QTBWCSQGBMPECM-UHFFFAOYSA-N,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,8.154901959985743,2,CHEMBL1090479,507.6420000000003,0.007000000000000002,0.003553494000000003,A549
QTHCAAFKVUWAFI-DJKKODMXSA-N,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,7.161150909262744,1,CHEMBL556399,452.2900000000001,0.06900000000000006,0.031208010000000033,A549
QTKVHGJQEWRSKU-UHFFFAOYSA-N,Cn1c2ccccc2c2c(=O)n(CCCC(=O)NCCc3c[nH]cn3)c3c(-c4ccccc4)nnn3c21,4.889999848866887,1,CHEMBL260638,494.5590000000002,12.882500000000006,6.371156317500006,A549
QTLPNFQMZWBMDF-LYVLPCRDSA-N,C=C1C(=O)[C@]23C[C@H]1C[C@H](OC(C)=O)[C@H]2[C@]1(C)[C@@H](OC(C)=O)C[C@H](O)C(C)(C)[C@H]1[C@@H](O)[C@@H]3OC(C)=O,5.7258421507363195,1,CHEMBL486058,492.5650000000003,1.8800000000000028,0.9260222000000019,A549
QTLSWJYHGFEXNL-FFUIAIKSSA-N,C#C[C@H](O)/C=C/CCCCCCCCCC/C=C\CCCCCCC[C@H](O)C#CC#CC#CCO,6.470005326930858,1,CHEMBL462677,478.71700000000044,0.33884000000000014,0.1622084682800002,A549
QTMDEIRVQCRCQU-UHFFFAOYSA-N,C#Cc1nc(-c2ccccc2)cn1C#C,5.6020599913279625,1,CHEMBL1808039,192.22099999999998,2.499999999999999,0.48055249999999977,A549
