rule,sample,conc_ppm,trial,replicate,abs_570,abs_blank_used,abs_control_used,viability_pct,cytotoxicity_pct
all_wells,DOX,50.0,1,R2,0.501,0.09966666666666668,1.3323333333333334,32.558139534883715,67.44186046511629
all_wells,DOX,50.0,1,R3,0.681,0.09966666666666668,1.3323333333333334,47.160627366143856,52.839372633856144
all_wells,DOX,25.0,1,R1,0.921,0.09966666666666668,1.3323333333333334,66.63061114115737,33.369388858842626
all_wells,DOX,25.0,1,R2,0.979,0.09966666666666668,1.3323333333333334,71.33585722011897,28.664142779881033
all_wells,DOX,25.0,1,R3,0.896,0.09966666666666668,1.3323333333333334,64.60248783126013,35.397512168739866
all_wells,DOX,12.5,1,R1,1.134,0.09966666666666668,1.3323333333333334,83.91022174148185,16.08977825851815
all_wells,DOX,12.5,1,R2,0.865,0.09966666666666668,1.3323333333333334,62.087614926987555,37.912385073012445
all_wells,DOX,12.5,1,R3,0.877,0.09966666666666668,1.3323333333333334,63.06111411573823,36.93888588426177
all_wells,DOX,6.2,1,R1,0.781,0.09966666666666668,1.3323333333333334,55.27312060573283,44.72687939426717
all_wells,DOX,6.2,1,R2,1.25,0.09966666666666668,1.3323333333333334,93.32071389940506,6.679286100594936
all_wells,DOX,6.2,1,R3,1.045,0.09966666666666668,1.3323333333333334,76.69010275824769,23.30989724175231
all_wells,DOX,3.1,1,R1,1.417,0.09966666666666668,1.3323333333333334,106.86857760951867,-6.868577609518667
all_wells,DOX,3.1,1,R2,1.181,0.09966666666666668,1.3323333333333334,87.72309356408869,12.276906435911314
all_wells,DOX,3.1,1,R3,0.766,0.09966666666666668,1.3323333333333334,54.05624661979448,45.94375338020552
all_wells,NC,0.0,1,R1,1.242,0.09966666666666668,1.3323333333333334,92.67171444023795,7.328285559762051
all_wells,NC,0.0,1,R2,1.382,0.09966666666666668,1.3323333333333334,104.02920497566251,-4.029204975662509
all_wells,NC,0.0,1,R3,1.373,0.09966666666666668,1.3323333333333334,103.29908058409951,-3.2990805840995137
all_wells,MBEE,400.0,2,R1,1.118,0.09833333333333334,1.2206666666666666,90.85239085239087,9.147609147609131
all_wells,MBEE,400.0,2,R2,0.971,0.09833333333333334,1.2206666666666666,77.75467775467776,22.245322245322242
all_wells,MBEE,400.0,2,R3,1.667,0.09833333333333334,1.2206666666666666,139.76833976833979,-39.768339768339786
all_wells,MBEE,200.0,2,R1,1.521,0.09833333333333334,1.2206666666666666,126.75972675972676,-26.75972675972676
all_wells,MBEE,200.0,2,R2,1.231,0.09833333333333334,1.2206666666666666,100.92070092070094,-0.9207009207009378
all_wells,MBEE,200.0,2,R3,1.707,0.09833333333333334,1.2206666666666666,143.33234333234336,-43.332343332343356
all_wells,MBEE,100.0,2,R1,1.297,0.09833333333333334,1.2206666666666666,106.8013068013068,-6.801306801306794
all_wells,MBEE,100.0,2,R2,1.617,0.09833333333333334,1.2206666666666666,135.31333531333533,-35.31333531333533
all_wells,MBEE,100.0,2,R3,1.807,0.09833333333333334,1.2206666666666666,152.24235224235224,-52.24235224235224
all_wells,MBEE,50.0,2,R1,1.265,0.09833333333333334,1.2206666666666666,103.95010395010395,-3.9501039501039514
all_wells,MBEE,50.0,2,R2,1.504,0.09833333333333334,1.2206666666666666,125.24502524502526,-25.24502524502526
all_wells,MBEE,50.0,2,R3,1.67,0.09833333333333334,1.2206666666666666,140.03564003564003,-40.03564003564003
all_wells,MBEE,25.0,2,R1,1.263,0.09833333333333334,1.2206666666666666,103.77190377190377,-3.771903771903766
all_wells,MBEE,25.0,2,R2,1.674,0.09833333333333334,1.2206666666666666,140.3920403920404,-40.3920403920404
all_wells,MBEE,25.0,2,R3,1.898,0.09833333333333334,1.2206666666666666,160.35046035046037,-60.35046035046037
all_wells,MBEE,12.5,2,R1,1.193,0.09833333333333334,1.2206666666666666,97.53489753489755,2.465102465102447
all_wells,MBEE,12.5,2,R2,1.707,0.09833333333333334,1.2206666666666666,143.33234333234336,-43.332343332343356
all_wells,MBEE,12.5,2,R3,1.949,0.09833333333333334,1.2206666666666666,164.89456489456492,-64.89456489456492
all_wells,DOX,50.0,2,R1,1.076,0.09833333333333334,1.2206666666666666,87.11018711018713,12.889812889812873
all_wells,DOX,50.0,2,R2,0.472,0.09833333333333334,1.2206666666666666,33.2937332937333,66.7062667062667
all_wells,DOX,50.0,2,R3,0.413,0.09833333333333334,1.2206666666666666,28.036828036828037,71.96317196317196
all_wells,DOX,25.0,2,R1,1.05,0.09833333333333334,1.2206666666666666,84.79358479358481,15.206415206415187
all_wells,DOX,25.0,2,R2,0.721,0.09833333333333334,1.2206666666666666,55.47965547965548,44.52034452034452
all_wells,DOX,25.0,2,R3,0.542,0.09833333333333334,1.2206666666666666,39.53073953073954,60.46926046926046
all_wells,DOX,12.5,2,R1,1.198,0.09833333333333334,1.2206666666666666,97.98039798039798,2.0196020196020186
all_wells,DOX,12.5,2,R2,0.938,0.09833333333333334,1.2206666666666666,74.81437481437482,25.185625185625184
all_wells,DOX,12.5,2,R3,0.892,0.09833333333333334,1.2206666666666666,70.71577071577072,29.284229284229284
all_wells,DOX,6.2,2,R1,1.221,0.09833333333333334,1.2206666666666666,100.02970002970004,-0.029700029700038044
all_wells,DOX,6.2,2,R2,0.7,0.09833333333333334,1.2206666666666666,53.60855360855361,46.39144639144639
all_wells,DOX,6.2,2,R3,0.556,0.09833333333333334,1.2206666666666666,40.77814077814079,59.22185922185921
all_wells,DOX,3.1,2,R1,1.047,0.09833333333333334,1.2206666666666666,84.52628452628453,15.473715473715473
all_wells,DOX,3.1,2,R2,0.836,0.09833333333333334,1.2206666666666666,65.72616572616573,34.27383427383427
all_wells,DOX,3.1,2,R3,0.762,0.09833333333333334,1.2206666666666666,59.13275913275914,40.86724086724086
all_wells,NC,0.0,2,R1,1.166,0.09833333333333334,1.2206666666666666,95.12919512919512,4.870804870804875
all_wells,NC,0.0,2,R2,1.274,0.09833333333333334,1.2206666666666666,104.75200475200477,-4.7520047520047655
all_wells,NC,0.0,2,R3,1.222,0.09833333333333334,1.2206666666666666,100.11880011880012,-0.11880011880012376
lab_outliers_removed,MBEE,400.0,1,R1,0.62,0.0665,1.3323333333333334,43.726135615536535,56.273864384463465
lab_outliers_removed,MBEE,400.0,1,R2,0.774,0.0665,1.3323333333333334,55.89203423304806,44.10796576695194
lab_outliers_removed,MBEE,400.0,1,R3,0.818,0.0665,1.3323333333333334,59.36800526662277,40.63199473337723
lab_outliers_removed,MBEE,200.0,1,R1,0.928,0.0665,1.3323333333333334,68.05793285055958,31.94206714944042
lab_outliers_removed,MBEE,200.0,1,R2,0.787,0.0665,1.3323333333333334,56.91902567478604,43.08097432521396
